Symbol,CompanyName
RELIANCE,Reliance Industries Ltd
TCS,Tata Consultancy Services Ltd.
HDFCBANK,HDFC Bank Ltd.
BHARTIARTL,Bharti Airtel  Ltd.
ICICIBANK,ICICI Bank Ltd.
INFY,Infosys Ltd
SBIN,State Bank Of India
LICI,LIFE INSURANCE CORPORATION OF INDIA
HINDUNILVR,Hindustan Unilever Ltd.
ITC,ITC Ltd
LT,Larsen & Toubro Limited
HCLTECH,HCL Technologies Ltd
BAJFINANCE,Bajaj Finance Limited
SUNPHARMA,Sun Pharmaceutical Industries Ltd.
NTPC,NTPC Limited
MARUTI,Maruti Suzuki India  Ltd.
TATAMOTORS,Tata Motors Ltd.
AXISBANK,AXIS Bank Ltd.
ONGC,Oil And Natural Gas Corporation Ltd
M&M,Mahindra & Mahindra Ltd.
KOTAKBANK,Kotak Mahindra Bank Ltd.
ADANIENT,Adani Enterprises Ltd.
ULTRACEMCO,UltraTech Cement Ltd
POWERGRID,POWER GRID CORPORATION OF INDIA LIMITED
HAL,Hindustan Aeronautics Limited
TITAN,Titan Company Limited
ADANIPORTS,Adani Ports and Special Economic Zone Ltd
DMART,Avenue Supermarts Limited
COALINDIA,Coal India Limited
WIPRO,Wipro  Ltd.
BAJAJ-AUTO,Bajaj Auto Limited
ASIANPAINT,Asian Paints Ltd.
BAJAJFINSV,Bajaj Finserv Limited
ADANIGREEN,Adani Green Energy Limited
SIEMENS,Siemens Ltd.
ADANIPOWER,Adani Power Limited
TRENT,Trent Ltd [Lakme Ltd]
NESTLEIND,Nestle India Ltd.
JSWSTEEL,JSW Steel Limited
ZOMATO,Zomato Limited
HINDZINC,Hindustan Zinc Ltd.
IOC,Indian Oil Corporation Ltd.
BEL,Bharat Electronics Ltd.
IRFC,Indian Railway Finance Corporation
JIOFIN,Jio Financial Services Limited
DLF,DLF LIMITED
VBL,Varun Beverages Limited
TATASTEEL,TATA STEEL LIMITED
GRASIM,Grasim Industries Ltd
VEDL,Vedanta Limited
LTIM,LTIMindtree Limited
INDIGO,InterGlobe Aviation Limited
SBILIFE,SBI Life Insurance Company Limited
PFC,Power Finance Corporation Ltd
ABB,ABB India Limited
TECHM,Tech Mahindra Limited
PIDILITIND,Pidilite Industries Ltd.
HINDALCO,Hindalco Industries Ltd.
